FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW answer count,FLOW answer length median,FLOW answer length variance,FLOW response time median,FLOW response time variance,FLOW label
46.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.972226,36,1512,0.027779,1.61583673469381E-11,42,0,1,35,42,0,0.000896,1.69195502040816E-07,0
25.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.899998,10,420,0.1,1.96172839506175E-10,42,0,1,9,42,0,0.004053,8.99987283950617E-07,0
17.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.968752,32,1344,0.031252,8.79958376690932E-11,42,0,1,31,42,0,0.00089,2.99883655983351E-06,0
79.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.972219,36,10296,0.027777,2.47701224489788E-10,286,0,1,35,342,0,0.014417,0.000882648841198,0
75.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.949991,20,5720,0.050001,2.34775623268686E-10,286,0,1,19,342,0,0.011055,3.27636389473684E-06,0
71.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.970606,34,9724,0.029411,6.63930211202938E-11,286,0,1,33,342,0,0.008002,1.88901317355372E-06,0
61.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.875005,8,336,0.125003,1.6877551020411E-10,42,0,1,8,42,0,0.004092,1.54950825E-06,0
88.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.979596,49,2058,0.020408,1.47020833333334E-10,42,0,1,48,42,0,0.0008745,1.78478802039931E-06,0
16.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.959992,25,7150,0.0399995,4.42222222222278E-11,286,0,1,24,342,0,0.0097565,2.37563199305556E-06,0
5.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.975617,41,1722,0.02439,1.62294375000003E-10,42,0,1,40,42,0,0.0009025,1.64161815E-06,0
76.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.973695,38,10868,0.026315,3.42366691015329E-11,286,0,1,37,342,0,0.008059,1.59619345987654E-06,0
67.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.979166,48,13728,0.020833,1.41153463105476E-10,286,0,1,47,342,0,0.008036,1.62264903938434E-06,0
13.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.974981,40,11440,0.025,1.13788297172912E-10,286,0,1,39,342,0,0.007995,4.53147516896778E-06,0
70.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0,1,42,0,0,42,0,1,1,42,0,0.00513,0,0
86.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.666687,3,126,0.3333435,3.02499999999078E-11,42,0,1,3,42,0,0.004115,9.13555555555562E-10,0
2.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.916658,12,504,0.083333,3.37024793388299E-11,42,0,1,11,42,0,0.003971,6.48380165289258E-10,0
63.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.833347,6,1716,0.166673,6.50399999999547E-11,286,0,1,6,342,0,0.0118375,0.00109296720325,0
94.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.888886,9,2574,0.1111125,8.79375000000059E-11,286,0,1,9,342,0,0.011091,1.03083209876543E-07,1
84.1,b8:27:eb:f7:fc:f5,ff:ff:ff:ff:ff:ff,0.956528,45,12870,0.021739,5.65619834710768E-11,286,0,1,45,342,0,0.008043,8.60166916543209E-07,0
