FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW response time median,FLOW response time variance,FLOW response time average,FLOW response time min,FLOW response time max,FLOW label
30.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.23637,50,5100,0.004109,2.66839851561849E-06,102,0,1,0.0019235,6.738385696E-07,0.00231552,0.001771,0.005698,0
93.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.179224,50,5100,0.003063,1.54427125281133E-06,102,0,1,0.001889,1.429759044E-05,0.0030056,0.001767,0.028064,1
25.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.175405,50,5100,0.002962,1.29725723281966E-06,102,0,1,0.001795,1.27936304E-06,0.002428,0.001678,0.005654,0
59.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.069032,13,1326,0.0053375,2.49800922222222E-06,102,0,1,0.001946,2.31452802083333E-06,0.00240175,0.001813,0.007439,0
29.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.164619,50,5100,0.003032,9.21982367346939E-07,102,0,1,0.001838,7.6263925031237E-07,0.00222787755102,0.001641,0.006241,0
56.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.174779,50,5100,0.003047,9.12292523948355E-07,102,0,1,0.001878,8.21545538525614E-07,0.002381632653061,0.001686,0.005285,0
71.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.179422,50,5100,0.002945,1.62584981174511E-06,102,0,1,0.001816,1.58795419075385E-06,0.002479816326531,0.001603,0.005711,0
84.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.166181,48,4896,0.002964,1.41524013671345E-06,102,0,1,0.001823,1.35194897057492E-06,0.002410446808511,0.001636,0.007492,0
32.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.176045,50,5100,0.003045,2.16886459308621E-06,102,0,1,0.001863,1.9974995876E-06,0.00243418,0.001716,0.011277,0
62.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.168738,50,5100,0.002973,1.20949941607664E-06,102,0,1,0.001826,1.21698753019575E-06,0.002323979591837,0.001288,0.005964,0
